NAME,ABV,VOLUME,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,CATEGORY_5
86 Original,8.6,50,beer,classic,,,
86 Extreme,10.5,50,beer,,,,
86 Gold,6.5,50,beer,,,,
86 Red,7.9,50,beer,,,,
Desperados Original,5.9,33,beer,classic,,,
Coca-Cola,0,33,classic,,,,
Ricard,45,5,digestif,,,,
Aperol,15,5,digestif,,,,
Bombay Sapphire,37.5,5,gin,,,,
Cirka Sauvage,44,5,gin,,,,
Liqueur de framboise Sivo,18,5,liquor,,,,
Chambord,16.5,5,liquor,,,,
Mariana Avril,26,5,liquor,,,,
Disaronno Originale,28,5,liquor,,,,
Saint-Crème,17,5,liquor,,,,
Noilly Prat Extra Sec,18,5,liquor,,,,
Lacuesta Vermouth Rojo,15,5,liquor,,,,
St-Germain,20,5,liquor,,,,
Campari,25,5,liquor,,,,
Les Îles,15,5,liquor,,,,
Bianco Martini,15,5,martini,,,,
Captain Morgan,35,5,rum,darkRum,classic,,
Old Nick,40,5,rum,whiteRum,classic,,
Charette,49,5,rum,whiteRum,classic,,
bacardi superior,37.5,5,rum,whiteRum,,,
 Havana Club 7 ans,40,5,run,whiteRum,,,
Jimador reposado,38,5,tequila,,,,
Cointreau,40,5,tripleSec,liquor,,,
Absolut Vodka,40,5,vodka,,,,
Grey Goose,40,5,vodka,,,,
Ballentine's,40,5,wisky,,,,
Jack Daniel’s N0.7,40,5,wisky,classic,,,
Jack Daniel’s Honey,35,5,wisky,,,,
Bulleit Bourbon,45,5,wisky,bourbon,,,
"Stolichnaya",40,5,vodka,,,,
"Menaud Vodka",40,5,vodka,,,,
Bailey's The Original,17,5,whisky,liquor,,,
Get 27 ,21,5,liquor,,,,
Zubrowka Bison Grass,40,5,vodka,classic,,,
Pircher Williams,40,5,Liquor,,,,
Champagne Georges Cartier,12,13,champagne,,,,
Sagres ,5,33,beer,,,,
Super Bock,5.2,33,beer,classic,,,
Super Bock ABADIA,6.4,33,beer,,,,
